from,to,relationship,weight,title
chapter_1,date__1924,MENTIONS,2,Chapter 1 mentions 1924 2 time(s).
chapter_1,date__1926,MENTIONS,2,Chapter 1 mentions 1926 2 time(s).
chapter_1,date__1927,MENTIONS,2,Chapter 1 mentions 1927 2 time(s).
chapter_1,date__1929,MENTIONS,4,Chapter 1 mentions 1929 4 time(s).
chapter_1,date__1930,MENTIONS,3,Chapter 1 mentions 1930 3 time(s).
chapter_1,date__1932,MENTIONS,4,Chapter 1 mentions 1932 4 time(s).
chapter_1,date__1934,MENTIONS,2,Chapter 1 mentions 1934 2 time(s).
chapter_1,date__1940,MENTIONS,1,Chapter 1 mentions 1940 1 time(s).
chapter_1,organization_church_of_jesus_christ_of_latter_day_saints,MENTIONS,1,Chapter 1 mentions Church of Jesus Christ of Latter-day Saints 1 time(s).
chapter_1,organization_eastside_grammar_school,MENTIONS,1,Chapter 1 mentions Eastside Grammar School 1 time(s).
chapter_1,organization_lincoln_school,MENTIONS,1,Chapter 1 mentions Lincoln School 1 time(s).
chapter_1,organization_place_arizona_temple,MENTIONS,2,Chapter 1 mentions Arizona Temple 2 time(s).
chapter_1,organization_place_idaho_falls_temple,MENTIONS,2,Chapter 1 mentions Idaho Falls Temple 2 time(s).
chapter_1,organization_place_mesa_temple,MENTIONS,1,Chapter 1 mentions Mesa Temple 1 time(s).
chapter_1,person_anthony_w_ivins,MENTIONS,1,Chapter 1 mentions Anthony W. Ivins 1 time(s).
chapter_1,person_carmen_stevens,MENTIONS,1,Chapter 1 mentions Carmen Stevens 1 time(s).
chapter_1,person_clifford,MENTIONS,1,Chapter 1 mentions Clifford 1 time(s).
chapter_1,person_david_o_mckay,MENTIONS,1,Chapter 1 mentions David O. McKay 1 time(s).
chapter_1,person_franklin_d_roosevelt,MENTIONS,2,Chapter 1 mentions Franklin D. Roosevelt 2 time(s).
chapter_1,person_george_albert_smith,MENTIONS,1,Chapter 1 mentions George Albert Smith 1 time(s).
chapter_1,person_george_f_richards,MENTIONS,1,Chapter 1 mentions George F. Richards 1 time(s).
chapter_1,person_heber_j_grant,MENTIONS,1,Chapter 1 mentions Heber J. Grant 1 time(s).
chapter_1,person_herbert_hoover,MENTIONS,1,Chapter 1 mentions Herbert Hoover 1 time(s).
chapter_1,person_ila_rose,MENTIONS,5,Chapter 1 mentions Ila Rose 5 time(s).
chapter_1,person_j_golden_kimball,MENTIONS,1,Chapter 1 mentions J. Golden Kimball 1 time(s).
chapter_1,person_joseph_fielding_smith,MENTIONS,1,Chapter 1 mentions Joseph Fielding Smith 1 time(s).
chapter_1,person_loverna,MENTIONS,4,Chapter 1 mentions Loverna 4 time(s).
chapter_1,person_lucy_guyaz,MENTIONS,1,Chapter 1 mentions Lucy Guyaz 1 time(s).
chapter_1,person_maria_del_carmen_stevens,MENTIONS,1,Chapter 1 mentions Maria del Carmen Stevens 1 time(s).
chapter_1,person_martin,MENTIONS,5,Chapter 1 mentions Martin 5 time(s).
chapter_1,person_mary_anderson,MENTIONS,1,Chapter 1 mentions Mary Anderson 1 time(s).
chapter_1,person_maryette_rice_harris_standley,MENTIONS,1,Chapter 1 mentions Maryette Rice Harris Standley 1 time(s).
chapter_1,person_nathan_harris,MENTIONS,1,Chapter 1 mentions Nathan Harris 1 time(s).
chapter_1,person_reed_smoot,MENTIONS,1,Chapter 1 mentions Reed Smoot 1 time(s).
chapter_1,person_richard,MENTIONS,13,Chapter 1 mentions Richard 13 time(s).
chapter_1,person_richard_r_lyman,MENTIONS,1,Chapter 1 mentions Richard R. Lyman 1 time(s).
chapter_1,person_rudger_clawson,MENTIONS,1,Chapter 1 mentions Rudger Clawson 1 time(s).
chapter_1,person_solomon_r_harris,MENTIONS,1,Chapter 1 mentions Solomon R. Harris 1 time(s).
chapter_1,person_solomon_webster_harris,MENTIONS,1,Chapter 1 mentions Solomon Webster Harris 1 time(s).
chapter_1,person_spencer_w_kimball,MENTIONS,1,Chapter 1 mentions Spencer W. Kimball 1 time(s).
chapter_1,person_stephen_l_richards,MENTIONS,1,Chapter 1 mentions Stephen L. Richards 1 time(s).
chapter_1,person_sylvester_q_cannon,MENTIONS,1,Chapter 1 mentions Sylvester Q. Cannon 1 time(s).
chapter_1,place_arizona,MENTIONS,12,Chapter 1 mentions Arizona 12 time(s).
chapter_1,place_atlantic_ocean,MENTIONS,1,Chapter 1 mentions Atlantic Ocean 1 time(s).
chapter_1,place_idaho,MENTIONS,15,Chapter 1 mentions Idaho 15 time(s).
chapter_1,place_idaho_falls,MENTIONS,11,Chapter 1 mentions Idaho Falls 11 time(s).
chapter_1,place_logan,MENTIONS,2,Chapter 1 mentions Logan 2 time(s).
chapter_1,place_lone_pine,MENTIONS,1,Chapter 1 mentions Lone Pine 1 time(s).
chapter_1,place_mesa,MENTIONS,8,Chapter 1 mentions Mesa 8 time(s).
chapter_1,place_new_york,MENTIONS,1,Chapter 1 mentions New York 1 time(s).
chapter_1,place_philippine_islands,MENTIONS,1,Chapter 1 mentions Philippine Islands 1 time(s).
chapter_1,place_philippines,MENTIONS,2,Chapter 1 mentions Philippines 2 time(s).
chapter_1,place_salmon,MENTIONS,5,Chapter 1 mentions Salmon 5 time(s).
chapter_1,place_salt_lake_city,MENTIONS,1,Chapter 1 mentions Salt Lake City 1 time(s).
chapter_1,place_soviet_union,MENTIONS,1,Chapter 1 mentions Soviet Union 1 time(s).
chapter_1,place_tooele,MENTIONS,1,Chapter 1 mentions Tooele 1 time(s).
chapter_1,place_united_states,MENTIONS,16,Chapter 1 mentions United States 16 time(s).
chapter_1,place_utah,MENTIONS,5,Chapter 1 mentions Utah 5 time(s).
chapter_2,date__1934,MENTIONS,1,Chapter 2 mentions 1934 1 time(s).
chapter_2,date__1936,MENTIONS,1,Chapter 2 mentions 1936 1 time(s).
chapter_2,date__1939,MENTIONS,3,Chapter 2 mentions 1939 3 time(s).
chapter_2,date__1940,MENTIONS,3,Chapter 2 mentions 1940 3 time(s).
chapter_2,date__1941,MENTIONS,3,Chapter 2 mentions 1941 3 time(s).
chapter_2,date__1942,MENTIONS,3,Chapter 2 mentions 1942 3 time(s).
chapter_2,date__1943,MENTIONS,2,Chapter 2 mentions 1943 2 time(s).
chapter_2,date__1945,MENTIONS,1,Chapter 2 mentions 1945 1 time(s).
chapter_2,date__1988,MENTIONS,2,Chapter 2 mentions 1988 2 time(s).
chapter_2,event_world_war_ii,MENTIONS,2,Chapter 2 mentions World War II 2 time(s).
chapter_2,organization_communications_workers_of_america,MENTIONS,1,Chapter 2 mentions Communications Workers of America 1 time(s).
chapter_2,organization_mountain_states_telephone_and_telegraph,MENTIONS,1,Chapter 2 mentions Mountain States Telephone and Telegraph 1 time(s).
chapter_2,organization_pomona_high_school,MENTIONS,1,Chapter 2 mentions Pomona High School 1 time(s).
chapter_2,organization_presiding_bishop_s_office,MENTIONS,1,Chapter 2 mentions Presiding Bishop's Office 1 time(s).
chapter_2,organization_riverside_grammar_school,MENTIONS,1,Chapter 2 mentions Riverside Grammar School 1 time(s).
chapter_2,organization_sunday_school,MENTIONS,2,Chapter 2 mentions Sunday School 2 time(s).
chapter_2,organization_utah_state_agricultural_college,MENTIONS,2,Chapter 2 mentions Utah State Agricultural College 2 time(s).
chapter_2,organization_western_electric,MENTIONS,3,Chapter 2 mentions Western Electric 3 time(s).
chapter_2,person_al_harris,MENTIONS,1,Chapter 2 mentions Al Harris 1 time(s).
chapter_2,person_elwood_heiner,MENTIONS,1,Chapter 2 mentions Elwood Heiner 1 time(s).
chapter_2,person_harold_price,MENTIONS,1,Chapter 2 mentions Harold Price 1 time(s).
chapter_2,person_heber_austin,MENTIONS,1,Chapter 2 mentions Heber Austin 1 time(s).
chapter_2,person_ila_rose,MENTIONS,1,Chapter 2 mentions Ila Rose 1 time(s).
chapter_2,person_jack_kelley,MENTIONS,3,Chapter 2 mentions Jack Kelley 3 time(s).
chapter_2,person_joyce_mcneill,MENTIONS,3,Chapter 2 mentions Joyce McNeill 3 time(s).
chapter_2,person_lester_allan_harris,MENTIONS,1,Chapter 2 mentions Lester Allan Harris 1 time(s).
chapter_2,person_louis_f_nuffer,MENTIONS,1,Chapter 2 mentions Louis F. Nuffer 1 time(s).
chapter_2,person_loverna,MENTIONS,6,Chapter 2 mentions Loverna 6 time(s).
chapter_2,person_martin,MENTIONS,2,Chapter 2 mentions Martin 2 time(s).
chapter_2,person_martin_harris,MENTIONS,1,Chapter 2 mentions Martin Harris 1 time(s).
chapter_2,person_melvin_olsen,MENTIONS,2,Chapter 2 mentions Melvin Olsen 2 time(s).
chapter_2,person_reuel_neilson,MENTIONS,1,Chapter 2 mentions Reuel Neilson 1 time(s).
chapter_2,person_t_j_hurley,MENTIONS,1,Chapter 2 mentions T. J. Hurley 1 time(s).
chapter_2,person_vern_l_brown,MENTIONS,1,Chapter 2 mentions Vern L. Brown 1 time(s).
chapter_2,person_wiley_snarr,MENTIONS,1,Chapter 2 mentions Wiley Snarr 1 time(s).
chapter_2,person_wilmer_norton,MENTIONS,1,Chapter 2 mentions Wilmer Norton 1 time(s).
chapter_2,place_balboa_beach,MENTIONS,1,Chapter 2 mentions Balboa Beach 1 time(s).
chapter_2,place_california,MENTIONS,4,Chapter 2 mentions California 4 time(s).
chapter_2,place_clarkston,MENTIONS,1,Chapter 2 mentions Clarkston 1 time(s).
chapter_2,place_concord,MENTIONS,1,Chapter 2 mentions Concord 1 time(s).
chapter_2,place_corpus_christi,MENTIONS,2,Chapter 2 mentions Corpus Christi 2 time(s).
chapter_2,place_hawaii,MENTIONS,1,Chapter 2 mentions Hawaii 1 time(s).
chapter_2,place_idaho,MENTIONS,12,Chapter 2 mentions Idaho 12 time(s).
chapter_2,place_idaho_falls,MENTIONS,9,Chapter 2 mentions Idaho Falls 9 time(s).
chapter_2,place_japan,MENTIONS,4,Chapter 2 mentions Japan 4 time(s).
chapter_2,place_logan,MENTIONS,2,Chapter 2 mentions Logan 2 time(s).
chapter_2,place_pearl_harbor,MENTIONS,2,Chapter 2 mentions Pearl Harbor 2 time(s).
chapter_2,place_philippines,MENTIONS,1,Chapter 2 mentions Philippines 1 time(s).
chapter_2,place_pomona,MENTIONS,4,Chapter 2 mentions Pomona 4 time(s).
chapter_2,place_rhode_island,MENTIONS,1,Chapter 2 mentions Rhode Island 1 time(s).
chapter_2,place_salt_lake_city,MENTIONS,4,Chapter 2 mentions Salt Lake City 4 time(s).
chapter_2,place_san_francisco,MENTIONS,2,Chapter 2 mentions San Francisco 2 time(s).
chapter_2,place_soda_springs,MENTIONS,1,Chapter 2 mentions Soda Springs 1 time(s).
chapter_2,place_teton_mountains,MENTIONS,1,Chapter 2 mentions Teton Mountains 1 time(s).
chapter_2,place_treasure_island,MENTIONS,2,Chapter 2 mentions Treasure Island 2 time(s).
chapter_2,place_united_states,MENTIONS,14,Chapter 2 mentions United States 14 time(s).
chapter_2,place_utah,MENTIONS,2,Chapter 2 mentions Utah 2 time(s).
chapter_2,place_victor,MENTIONS,1,Chapter 2 mentions Victor 1 time(s).
chapter_3,date__1942,MENTIONS,2,Chapter 3 mentions 1942 2 time(s).
chapter_3,date__1943,MENTIONS,1,Chapter 3 mentions 1943 1 time(s).
chapter_3,date__1945,MENTIONS,9,Chapter 3 mentions 1945 9 time(s).
chapter_3,event_american_revolution,MENTIONS,1,Chapter 3 mentions American Revolution 1 time(s).
chapter_3,event_world_war_ii,MENTIONS,6,Chapter 3 mentions World War II 6 time(s).
chapter_3,organization_u_s_navy,MENTIONS,2,Chapter 3 mentions U.S. Navy 2 time(s).
chapter_3,organization_utah_state_agricultural_college,MENTIONS,2,Chapter 3 mentions Utah State Agricultural College 2 time(s).
chapter_3,person_cyd_charisse,MENTIONS,1,Chapter 3 mentions Cyd Charisse 1 time(s).
chapter_3,person_franklin_d_roosevelt,MENTIONS,2,Chapter 3 mentions Franklin D. Roosevelt 2 time(s).
chapter_3,person_harry_truman,MENTIONS,1,Chapter 3 mentions Harry Truman 1 time(s).
chapter_3,person_heber_j_grant,MENTIONS,1,Chapter 3 mentions Heber J. Grant 1 time(s).
chapter_3,person_john_s_mccain,MENTIONS,1,Chapter 3 mentions John S. McCain 1 time(s).
chapter_3,person_marion,MENTIONS,1,Chapter 3 mentions Marion 1 time(s).
chapter_3,person_martin,MENTIONS,1,Chapter 3 mentions Martin 1 time(s).
chapter_3,person_raymond_spruance,MENTIONS,1,Chapter 3 mentions Raymond Spruance 1 time(s).
chapter_3,person_richard,MENTIONS,1,Chapter 3 mentions Richard 1 time(s).
chapter_3,person_roger_williams,MENTIONS,1,Chapter 3 mentions Roger Williams 1 time(s).
chapter_3,person_tony_martin,MENTIONS,1,Chapter 3 mentions Tony Martin 1 time(s).
chapter_3,person_tyrone_power,MENTIONS,1,Chapter 3 mentions Tyrone Power 1 time(s).
chapter_3,place_arizona,MENTIONS,1,Chapter 3 mentions Arizona 1 time(s).
chapter_3,place_atlantic_ocean,MENTIONS,1,Chapter 3 mentions Atlantic Ocean 1 time(s).
chapter_3,place_boston,MENTIONS,5,Chapter 3 mentions Boston 5 time(s).
chapter_3,place_bremerton,MENTIONS,4,Chapter 3 mentions Bremerton 4 time(s).
chapter_3,place_bunker_hill,MENTIONS,1,Chapter 3 mentions Bunker Hill 1 time(s).
chapter_3,place_caribbean,MENTIONS,1,Chapter 3 mentions Caribbean 1 time(s).
chapter_3,place_concord,MENTIONS,1,Chapter 3 mentions Concord 1 time(s).
chapter_3,place_corpus_christi,MENTIONS,2,Chapter 3 mentions Corpus Christi 2 time(s).
chapter_3,place_far_east,MENTIONS,1,Chapter 3 mentions Far East 1 time(s).
chapter_3,place_hawaii,MENTIONS,1,Chapter 3 mentions Hawaii 1 time(s).
chapter_3,place_idaho,MENTIONS,3,Chapter 3 mentions Idaho 3 time(s).
chapter_3,place_idaho_falls,MENTIONS,1,Chapter 3 mentions Idaho Falls 1 time(s).
chapter_3,place_japan,MENTIONS,2,Chapter 3 mentions Japan 2 time(s).
chapter_3,place_lexington,MENTIONS,1,Chapter 3 mentions Lexington 1 time(s).
